address,city,zip,tract
1416 34TH AVE,seattle,98122,78
3222 MCGRAW ST W A,seattle,98199,57
6413 ROOSEVELT WAY NE,seattle,98115,36
1900 W NICKERSON ST #108,seattle,98119,58.01
700 3RD AVE,seattle,98104,81
1805 QUEEN ANNE AVE N #100,seattle,98109,68
316 VIRGINIA ST,seattle,98121,72
4822 CALIFORNIA AVE SW,seattle,98116,105
4213 SW COLLEGE ST,seattle,98116,96
1604 N 34TH ST,seattle,98103,54
1933 1ST AVE,seattle,98101,80.02
2715 E CHERRY ST #B,seattle,98122,88
701 5TH AVE,seattle,98104,81
701 5TH AVE #106,seattle,98104,81
3005 NW 54TH ST,seattle,98107,32
2200 WESTLAKE AVE,seattle,98121,73
2701 E MADISON ST,seattle,98112,77
2805 E MADISON ST,seattle,98112,77
7850 GREENLAKE DR N,seattle,98103,46
420 BROADWAY AVE E,seattle,98102,75
1415 NW 70TH ST,seattle,98117,33
1435 1ST AVE,seattle,98101,81
2121 QUEEN ANNE AVE N,seattle,98109,68
2616 2ND AVE,seattle,98121,80.01
1001 4TH AVE #510,seattle,98104,67
1001 4TH AVE #50,seattle,98104,67
615 S KING ST,seattle,98104,91
7311 AURORA AVE N,seattle,98103,28
89 UNIVERSITY ST,seattle,98101,81
12325 30TH AVE NE,seattle,98125,7
6540 CALIFORNIA AVE SW,seattle,98136,106
11805 RENTON AVE S,seattle,98178,261
11805 RENTON AVE S,seattle,98178,261
14553 BOTHELL WAY NE,shoreline,98155,213
509 15TH AVE E,seattle,98112,75
1614 W DRAVUS ST,seattle,98119,58.01
7500 35TH AVE NE,seattle,98115,24
4100 BEACH DR SW,seattle,98116,97.01
1830 MINOR AVE,seattle,98101,73
340 WESTLAKE AVE N,seattle,98109,73
41 DRAVUS ST,seattle,98109,60
350 15TH AVE E,seattle,98112,76
1010 MADISON ST,seattle,98104,83
2605 E CHERRY ST,seattle,98122,88
14340 15TH AVE NE,seattle,98125,2
2020 WESTERN AVE,seattle,98121,80.02
8420 GREENWOOD AVE N,seattle,98103,28
2968 EASTLAKE AVE,seattle,98102,61
2228 2ND AVE,seattle,98121,80.01
93 PIKE ST,seattle,98101,81
401 NE NORTHGATE WAY 1102,seattle,98125,12
8617 35TH AVE NE,seattle,98115,21
