,address,city,zip,State
0,1416 34TH AVE,seattle,98122.0,WA
2,3222 MCGRAW ST W A,seattle,98199.0,WA
13,6413 ROOSEVELT WAY NE ,seattle,98115.0,WA
26,1900 W NICKERSON ST #108,seattle,98119.0,WA
38,700 3RD AVE ,seattle,98104.0,WA
49,1805 QUEEN ANNE AVE N #100,seattle,98109.0,WA
56,316 VIRGINIA ST ,seattle,98121.0,WA
67,4822 CALIFORNIA AVE SW,seattle,98116.0,WA
82,4213 SW COLLEGE ST,seattle,98116.0,WA
87,1604 N 34TH ST ,seattle,98103.0,WA
93,1933 1ST AVE ,seattle,98101.0,WA
102,2715 E CHERRY ST #B,seattle,98122.0,WA
114,701 5TH AVE ,seattle,98104.0,WA
123,701 5TH AVE #106,seattle,98104.0,WA
130,3005 NW 54TH ST,seattle,98107.0,WA
131,2200 WESTLAKE AVE ,seattle,98121.0,WA
142,2701 E MADISON ST,seattle,98112.0,WA
149,2805 E MADISON ST ,seattle,98112.0,WA
161,7850 GREENLAKE DR N ,seattle,98103.0,WA
175,420 BROADWAY AVE E ,seattle,98102.0,WA
179,1415 NW 70TH ST,seattle,98117.0,WA
189,1435 1ST AVE ,seattle,98101.0,WA
201,2121 QUEEN ANNE AVE N ,seattle,98109.0,WA
216,2616 2ND AVE ,seattle,98121.0,WA
220,1001 4TH AVE #510,seattle,98104.0,WA
222,1001 4TH AVE #50,seattle,98104.0,WA
236,615 S KING ST ,seattle,98104.0,WA
242,7311 AURORA AVE N ,seattle,98103.0,WA
254,89 UNIVERSITY ST,seattle,98101.0,WA
258,12325 30TH AVE NE ,seattle,98125.0,WA
270,6540 CALIFORNIA AVE SW ,seattle,98136.0,WA
279,11805 RENTON AVE S ,seattle,98178.0,WA
289,11805 RENTON AVE S,seattle,98178.0,WA
290,14553 BOTHELL WAY NE ,shoreline,98155.0,WA
300,509 15TH AVE E ,seattle,98112.0,WA
312,1614 W DRAVUS ST,seattle,98119.0,WA
321,7500 35TH AVE NE ,seattle,98115.0,WA
333,4100 BEACH DR SW ,seattle,98116.0,WA
345,1830 MINOR AVE,seattle,98101.0,WA
360,340 WESTLAKE AVE N ,seattle,98109.0,WA
370,41 DRAVUS ST ,seattle,98109.0,WA
381,350 15TH AVE E ,seattle,98112.0,WA
393,1010 MADISON ST ,seattle,98104.0,WA
397,2605 E CHERRY ST ,seattle,98122.0,WA
409,14340 15TH AVE NE ,seattle,98125.0,WA
423,2020 WESTERN AVE ,seattle,98121.0,WA
433,8420 GREENWOOD AVE N,seattle,98103.0,WA
436,2968 EASTLAKE AVE,seattle,98102.0,WA
440,2228 2ND AVE,seattle,98121.0,WA
442,93 PIKE ST ,seattle,98101.0,WA
450,401 NE NORTHGATE WAY 1102,seattle,98125.0,WA
461,8617 35TH AVE NE ,seattle,98115.0,WA
470,6459 CALIFORNIA AVE SW ,seattle,98136.0,WA
478,1414 NE 42ND ST #103B,seattle,98105.0,WA
484,170 S KING ST ,seattle,98104.0,WA
495,9452 35TH AVE SW ,seattle,98126.0,WA
507,526 QUEEN ANNE AVE N,seattle,98109.0,WA
508,5807 4TH AVE S,seattle,98108.0,WA
519,4920 S GENESEE ST,seattle,98118.0,WA
528,2323 2ND AVE ,seattle,98121.0,WA
532,469 N 36TH ST #A,seattle,98103.0,WA
533,6100 ROOSEVELT WAY NE ,seattle,98115.0,WA
546,1411 4TH AVE ,seattle,98101.0,WA
559,308 N 125TH ST,seattle,98133.0,WA
573,5963 CORSON AVE S,seattle,98108.0,WA
579,4003 STONE WAY N ,seattle,98103.0,WA
590,1120 HOWELL ST,seattle,98101.0,WA
604,1430 HARVARD AVE 20 ,seattle,98122.0,WA
616,4539 CALIFORNIA AVE SW ,seattle,98116.0,WA
628,140 4TH AVE N 130,seattle,98109.0,WA
639,9000 RAINIER AVE S ,seattle,98118.0,WA
653,2123 N 40TH ST,seattle,98103.0,WA
663,7520 35TH AVE NE,seattle,98115.0,WA
675,4914 RAINIER AVE S ,seattle,98118.0,WA
688,1420 5TH AVE ,seattle,98101.0,WA
702,6015 PHINNEY AVE N ,seattle,98103.0,WA
713,324 BROADWAY E ,seattle,98102.0,WA
719,4559 UNIVERSITY WAY NE ,seattle,98105.0,WA
732,6058 CALIFORNIA AVE SW ,seattle,98136.0,WA
740,4537 UNIVERSITY WAY NE,seattle,98105.0,WA
748,1920 DEXTER AVE N ,seattle,98109.0,WA
755,2305 NW MARKET ST,seattle,98107.0,WA
758,5602 1ST AVE S,seattle,98108.0,WA
771,403 15TH AVE E,seattle,98112.0,WA
773,2901 NE BLAKELEY ST ,seattle,98105.0,WA
787,1531 MELROSE AVE E #-6,seattle,98122.0,WA
794,658 S JACKSON ST,seattle,98104.0,WA
807,9208 HOLMAN RD NW ,seattle,98117.0,WA
820,519 1ST AVE N,seattle,98109.0,WA
824,4207 UNIVERSITY WAY NE,seattle,98105.0,WA
836,2425 33RD AVE W ,seattle,98199.0,WA
848,1618 1/2 N 45TH ST ,seattle,98103.0,WA
853,3221 W MCGRAW ST ,seattle,98199.0,WA
858,6106 ROOSEVELT WAY NE ,seattle,98115.0,WA
871,999 3RD AVE,seattle,98104.0,WA
884,1220 HOWELL ST ,seattle,98101.0,WA
897,600 University ST,seattle,98101.0,WA
910,1520 4TH AVE ,seattle,98101.0,WA
922,4860 BEACON AVE S,seattle,98108.0,WA
935,5307 BALLARD AVE NW,seattle,98107.0,WA
943,5405 BALLARD AVE NW ,seattle,98107.0,WA
955,5606 1ST AVE S,seattle,98108.0,WA
966,7115 WOODLAWN AVE NE,seattle,98115.0,WA
977,4220 E MADISON ST ,seattle,98112.0,WA
989,7300 RAINIER AVE S,seattle,98118.0,WA
994,3719 NE 45TH ST ,seattle,98105.0,WA
997,5501 30TH AVE NE ,seattle,98105.0,WA
1010,6711 GREENWOOD AVE N ,seattle,98103.0,WA
1023,805 S 112TH ST,seattle,98168.0,WA
1034,2501 4TH AVE ,seattle,98121.0,WA
1041,2762 4TH AVE S ,seattle,98134.0,WA
1045,8014 LAKE CITY WAY NE STE C,seattle,98115.0,WA
1059,1501 4TH AVE #118,seattle,98101.0,WA
1060,1511 7TH AVE ,seattle,98101.0,WA
1062,13754 AURORA AVE N #D,seattle,98133.0,WA
1064,217 JAMES ST ,seattle,98104.0,WA
1065,10055 16TH AVE SW ,seattle,98146.0,WA
1068,2746 NE 45TH ST ,seattle,98105.0,WA
1082,1530 POST ALY #B,seattle,98101.0,WA
1093,7902 35TH AVE SW,seattle,98126.0,WA
1098,4130 ROOSEVELT WAY NE ,seattle,98105.0,WA
1112,1530 3RD AVE,seattle,98101.0,WA
1126,1507 QUEEN ANNE AVE N ,seattle,98109.0,WA
1134,8515 35TH AVE NE ,seattle,98115.0,WA
1148,1517 PIKE PL,seattle,98101.0,WA
1159,809 FAIRVIEW PL N ,seattle,98109.0,WA
1169,11730 PINEHURST WAY NE ,seattle,98125.0,WA
1175,1718 N 45TH ST,seattle,98103.0,WA
1185,17535 BALLINGER WAY NE ,lake forest park,98155.0,WA
1193,1940 1ST AVE S,seattle,98134.0,WA
1196,8519 15TH AVE NW ,seattle,98117.0,WA
1208,810 E ROY ST ,seattle,98102.0,WA
1220,5517 ROOSEVELT WAY NE ,seattle,98105.0,WA
1233,2801 WESTERN AVE #B,seattle,98121.0,WA
1239,8518 GREENWOOD AVE N ,seattle,98103.0,WA
1251,1514 PIKE PL ,seattle,98101.0,WA
1253,118 CHERRY ST ,seattle,98104.0,WA
